tier,ms_per_step,heap_MB,pose_recovery_top1,mean_rank,terms
L0 CG,0.227,7.4,10/10,1.0,ENM+isotropic-LJ+burial (today)
L1 CG+,0.247,9.2,10/10,1.0,+charges+directional-HB virtual-sites (Loop-2 S1+S2 measured)
L1 CG+ +BindLog,0.262,10.8,,,+per-term accumulators trackTerms (Loop-2 S4 measured)
L2 heavy,99.521,12.1,9/10,1.3,covalent+LJ+GB (today)
L3 heavy+R3,89.490,24.2,9/10,1.3,+pi-stack+cation-pi+halogen weakint (Loop-2 S3 measured)
L2 full-rigor,86.829,17.6,9/10,1.3,heavy+weakint+7-term bindU accumulators (Loop-2 S7 measured)
L4 heavy+OBC2+RESPA (est),54.736,,est,est,OBC2+LCPO+RESPA 2fs (Ph1/Ph3)
